insee_com,siren_epci,usage_2021,surfaces_ha
01001,200069193,A_a,7.96320875
01001,200069193,A_h,46.45221650
01001,200069193,A_i,35.83457475
01001,200069193,C,796.00
01001,200069193,C_t,80.50
01001,200069193,C_ve,1.750
01001,200069193,C_vi,7.000
01001,200069193,F_c,16.25
01001,200069193,F_f,379.75
01001,200069193,F_m,11.25
01001,200069193,F_p,7.00
01001,200069193,H_a,7.75
01001,200069193,P_a,2.25
01001,200069193,P_h,164.50
01002,240100883,A_a,2.90625000
01002,240100883,A_h,11.46355200
01002,240100883,A_i,8.88019800
01002,240100883,C,80.50
01002,240100883,C_t,4.75
01002,240100883,C_vi,4.25
01002,240100883,F_c,10.50
01002,240100883,F_f,614.75
01002,240100883,F_m,24.50
01002,240100883,P_a,6.00
01002,240100883,P_h,137.50
01002,240100883,P_m,11.25
01004,240100883,A_a,52.82641250
01004,240100883,A_h,344.24568750
01004,240100883,A_i,470.42790000
01004,240100883,C,214.00
01004,240100883,C_t,18.25
01004,240100883,F_c,131.75
01004,240100883,F_f,1029.50
01004,240100883,F_m,69.00
01004,240100883,H_a,5.00
01004,240100883,O,0.75
01004,240100883,P_a,8.00
01004,240100883,P_h,95.25
01004,240100883,P_m,15.75
01005,200042497,A_a,14.03527725
01005,200042497,A_h,66.53788425
01005,200042497,A_i,70.17668775
01005,200042497,C,902.00
01005,200042497,C_t,116.75
01005,200042497,C_ve,2.000
01005,200042497,C_vi,8.000
01005,200042497,F_f,109.00
01005,200042497,F_m,18.75
01005,200042497,F_p,16.50
01005,200042497,H_a,174.75
01005,200042497,H_n,3.25
01005,200042497,P_a,1.25
01005,200042497,P_h,92.25
01005,200042497,P_m,9.75
01006,200040350,A_a,0.82192500
01006,200040350,A_h,6.57534000
01006,200040350,A_i,7.60273500
01006,200040350,C,18.25
01006,200040350,C_t,12.25
01006,200040350,F_c,6.00
01006,200040350,F_f,427.50
01006,200040350,F_m,5.00
01006,200040350,H_a,4.50
01006,200040350,P_a,3.75
01006,200040350,P_h,99.75
01006,200040350,P_m,10.25
01007,240100883,A_a,21.87939300
01007,240100883,A_h,244.11628450
01007,240100883,A_i,180.50432250
01007,240100883,C,1227.25
01007,240100883,C_t,178.00
01007,240100883,F_c,107.75
01007,240100883,F_f,826.75
01007,240100883,F_m,91.50
01007,240100883,F_p,0.25
01007,240100883,H_a,43.25
01007,240100883,O,19.75
01007,240100883,P_a,6.50
01007,240100883,P_h,382.00
01007,240100883,P_m,39.25
01008,240100883,A_a,3.65765400
01008,240100883,A_h,24.81982400
01008,240100883,A_i,29.52252200
01008,240100883,C,188.50
01008,240100883,C_t,12.25
01008,240100883,C_ve,0.650
01008,240100883,C_vi,2.600
01008,240100883,F_f,153.75
01008,240100883,F_m,5.75
01008,240100883,P_a,1.00
01008,240100883,P_h,95.75
01009,200040350,A_a,4.35025325
01009,200040350,A_h,29.42807525
01009,200040350,A_i,20.47167150
01009,200040350,C,87.75
01009,200040350,C_t,25.00
01009,200040350,C_ve,5.0353260869565217391175
01009,200040350,C_vi,22.2146739130434782608825
01009,200040350,F_c,0.75
01009,200040350,F_f,379.00
01009,200040350,F_m,5.00
01009,200040350,F_p,4.75
01009,200040350,H_a,5.25
01009,200040350,H_n,2.25
01009,200040350,P_a,2.50
01009,200040350,P_h,93.25
01009,200040350,P_m,15.25
01010,200070852,A_a,7.18497350
01010,200070852,A_h,92.42564250
01010,200070852,A_i,61.88922250
01010,200070852,C,219.50
01010,200070852,C_t,61.00
01010,200070852,C_vi,0.75
01010,200070852,F_c,0.25
01010,200070852,F_f,1640.50
01010,200070852,F_m,222.50
01010,200070852,F_p,0.25
01010,200070852,H_a,119.50
01010,200070852,H_n,2.50
01010,200070852,O,0.50
01010,200070852,P_a,10.75
01010,200070852,P_h,403.00
01010,200070852,P_m,112.00
01011,200042935,A_a,1.75339875
01011,200042935,A_h,15.42986250
01011,200042935,A_i,21.56673875
01011,200042935,C,59.50
01011,200042935,C_t,22.00
01011,200042935,F_c,418.00
01011,200042935,F_f,101.00
01011,200042935,F_m,505.25
01011,200042935,P_a,8.50
