code12,code18,commune,area
423,121,59359,36.1149017103639
331,121,59359,87.2613920804755
423,523,59359,20.7786128280312
133,121,59359,38.69010072962
142,123,59359,5.88371756929886
231,112,59359,5.8993820080335
133,112,59359,5.85308321041594
211,112,59155,0.0508177322464633
324,311,59155,64.7702646802312
211,112,59588,11.8609882966639
324,311,59588,111.103730283897
211,133,59588,6.3145123601196
324,311,59131,0.232933396956382
211,133,59131,11.0709161740529
211,112,59131,5.32581822432343
324,311,59082,1.57924954058644
133,112,59082,5.74403697516753
211,121,59082,8.15603743193183
231,121,59183,5.64524476668142
131,322,59273,14.5660399749547
133,141,59273,19.2671001901807
423,123,62193,7.30130576201052
324,131,62193,17.3343149884778
322,121,62193,10.9874461836839
133,112,62193,8.39158807492815
211,133,62193,18.5924257842442
211,133,62645,5.94109040632725
133,141,59532,29.3943874413514
211,131,59532,23.0348443124287
133,112,59576,5.59124656185287
133,112,59159,6.26315027155816
211,121,59478,6.55309591785221
211,112,59110,8.60269807319527
133,112,62774,9.22988969448068
112,112,62634,24.7157624718366
211,112,62634,5.03184403756487
112,112,62634,22.6222027400044
211,112,59094,10.8846537030566
133,112,62239,8.01122780953705
133,121,59463,13.3702922789471
242,112,59539,0.701037189893621
242,112,62756,30.2310889138876
242,132,62756,11.7980856022317
133,112,62057,6.90226926847395
133,112,62057,7.35555747631179
133,112,62057,10.5301385417782
211,112,59663,10.7277471053617
211,112,62751,5.40502727937519
231,211,62408,5.96700525365249
211,133,62397,5.40952501553846
211,121,62397,12.6655367902285
324,311,62397,25.7319464038463
311,324,62397,10.1892235961923
211,112,59397,25.2360022805799
211,112,62038,10.0823335338868
231,211,62054,21.4688047327306
231,211,62487,6.91949228115613
324,311,62906,5.05097699417861
231,131,62503,0.0334100284762152
231,131,62505,24.8660024290992
231,131,62329,0.525851598856446
311,324,62329,7.51884158593146
131,322,62329,3.00093176133248
311,324,62297,0.0829251664623623
311,324,62297,11.3549332793275
324,311,62297,5.47440700556849
312,324,62297,5.206808264146
312,324,62297,5.3160142981931
311,324,62730,9.20976152910748
311,324,62334,0.534340536275383
311,324,62191,0.011026672098626
131,322,62711,34.0235850598089
211,112,62711,6.00619350198224
211,133,62560,5.70388900401193
231,112,62618,5.28039524475251
133,112,62618,5.75533944881395
231,112,62699,0.48825248739155
322,112,62025,5.10975603351089
311,324,62161,9.11468463684409
311,324,62506,0.701236175894865
133,112,59580,8.38240352469364
231,211,62087,5.6111640399414
324,311,62020,5.94493379183189
211,121,59279,9.45104701697636
211,112,62595,5.73412588719186
211,112,62595,5.07073541317551
231,211,62894,8.88722357763996
231,211,62894,6.73827617012805
311,324,62567,0.798584934330041
311,324,62827,12.0638353097169
324,311,62827,13.8019664505524
211,112,59546,5.18147937716821
133,112,59656,18.8570548551506
231,142,59656,0.123794403917357
133,121,59656,8.56328813009041
242,142,59152,1.10972981378046
231,142,59152,0.126266214350328
211,121,59152,14.3958053223692
324,311,62155,10.632915808898
211,121,59508,10.3663592476917
211,121,59508,11.4734766268963
211,112,59508,4.27400271942949
242,112,59189,4.23398010167388
242,112,59120,0.76787448051636
231,112,62757,8.2825689632199
231,211,62105,0.00540166850689912
231,211,62237,6.80714720007575
231,211,62104,0.0171536620192245
231,211,62880,5.78218879936456
211,133,59426,5.1114474796241
211,121,59426,37.3694555550149
211,112,59043,5.69159677353791
211,121,59599,3.62640024092158
211,112,59599,1.73840830509578
211,133,62040,13.4447200681479
211,122,62040,7.62004236338123
211,121,62040,8.4855492642671
211,121,62040,5.30169841749517
133,211,62040,26.4185758852681
133,121,62040,10.6926319289266
133,121,59401,5.48881581184901
211,112,59401,7.84466139091751
211,112,59173,5.22838227273317
211,112,59643,0.0995058983859923
211,112,59295,11.4848396930696
211,112,59295,8.62735651696039
133,112,59295,9.12119390559643
211,112,59366,7.41006290912316
133,121,62898,2.1538014348842
133,121,62504,26.6854194343471
133,121,62794,1.04556921742888
324,311,62169,9.4223104965908
312,324,62075,5.48922671056825
324,324,62075,5.18223039136019
312,324,62075,7.66442700520386
324,324,62075,7.04624722218284
311,324,62075,12.5433711418115
211,133,62205,11.9110946131928
324,322,62205,13.3154102708091
142,133,59090,6.11569183873704
133,112,59090,0.34334773226679
231,112,62534,7.52458218071332
324,311,62534,25.4788683643151
211,131,62534,3.33762952234072
311,131,62534,3.22029582167263
133,112,62309,5.6174463658342
211,131,59084,5.34478710130543
133,112,59084,5.24016892336142
211,112,59482,5.68566278556598
121,121,59482,5.06848162569212
324,322,62452,38.0078409815491
324,322,62139,4.24414012491871
324,311,62010,4.53871631543193
211,121,59431,14.1705852407132
211,121,59378,5.66547217859535
311,324,62684,7.30617573361807
311,324,59615,9.96127308832287
311,324,59615,8.75625622679249
311,324,59615,12.8398321570126
324,311,59615,7.3834511336005
211,121,59636,13.2140698689239
133,112,59386,7.80837287115332
133,112,59386,12.1557339433409
133,112,59017,0.178950346440176
133,112,59202,14.6068491496577
211,112,59202,5.13876117019952
211,112,59202,5.88054246462362
211,112,59611,5.14921619137067
211,112,62448,7.86194274207672
133,112,59143,7.93559631946647
211,121,59143,5.01535600900433
211,121,59143,4.30025029032052
211,121,59143,20.4394758104131
211,133,59143,5.11743210946735
211,112,62901,5.40693406644626
311,324,59416,7.8689332126076
311,324,59416,14.5258226312942
311,324,59416,6.63036956460832
231,133,62446,5.54885199156834
211,121,59299,5.1319416699542
133,112,59299,12.3451680408793
133,121,59299,13.5060536284767
133,121,59299,9.38909458358286
211,121,59088,1.17530733854911
211,133,59088,0.00444694698661461
211,121,59088,11.1519890776341
133,121,59470,5.06204194880683
211,121,59196,4.82418688127938
133,112,59400,14.427553463196
211,112,59400,6.24155244564118
133,124,59400,13.2288399655681
133,142,59400,5.45716737501266
311,324,62235,6.71656637031975
312,324,62235,5.06656511978427
211,133,59522,6.68676232533292
211,112,59212,7.44850834046491
133,112,59212,7.03502339158166
211,133,59212,5.29478383418306
133,112,62773,9.46809113170832
324,311,62773,7.64412344928808
231,211,62495,7.91901756469602
231,211,62273,18.5234387668612
231,211,62168,7.32475692105951
231,211,62168,5.43133885711691
211,121,59566,6.10755248592278
211,112,62747,6.37309695568666
133,112,59350,0.288286098146601
322,112,59350,9.31832465390254
133,112,59360,5.69587623411243
141,121,59360,5.72087584801108
133,112,59360,14.8505833402146
211,112,62502,9.36043979856753
211,133,59278,8.06452289676924
211,121,59278,6.93136824389319
211,131,62391,13.1878283685927
133,112,62391,5.42406789380423
242,112,62473,6.47127881676762
211,133,59056,6.04470896954249
133,121,59009,8.83637645502201
133,122,59009,0.0186016387349357
211,121,59009,4.51542175201461
211,112,59257,6.20284987576644
133,122,59343,5.24280325160417
211,133,59343,18.0132747525773
211,112,59343,19.0046817814346
133,121,59343,9.08512589888157
211,112,59343,10.2512529355117
211,121,59343,7.67937655886291
133,121,59343,7.43710090862312
133,122,59346,10.3277228943647
311,131,62564,2.4386608271701
211,131,62564,0.133942646121451
311,131,62676,5.77160622738138
211,131,62676,1.86859787301117
311,131,62720,0.629521974835791
211,121,59523,27.5939943326979
242,112,59523,6.34232522702362
211,121,59523,5.04151865481794
211,121,59553,0.271841703388165
211,142,59044,5.87705013510878
211,142,59124,13.0524985129386
211,133,59193,7.56124784373319
231,112,59193,5.28977969905915
231,142,59193,8.95864833767442
231,131,62264,6.71790434177479
231,131,62201,2.28181682239744
423,522,62201,0.554207223717424
231,131,62887,1.88563037591842
133,112,62190,5.16212149118479
211,133,59025,6.47258763018734
211,112,62851,5.34776154862059
211,133,59220,11.8464244037974
211,112,59106,4.66208367616139
211,112,59168,0.34995376797528
211,121,59168,5.27928880701233
211,133,59168,12.8794418183206
311,324,59168,7.61954756983168
311,324,59168,0.0111521558109203
133,112,59648,18.1420737779907
311,324,62529,9.32609043952042
231,112,59638,5.08319841747537
211,133,59303,17.664253139391
211,133,59585,5.64069721843924
231,131,62862,0.138673241889545
231,131,62696,16.2393118212872
231,131,62565,0.387840332294038
311,324,62376,0.0366434669987584
311,324,62516,7.52355184807791
311,324,62516,7.59469126315257
211,121,62516,7.75316789995901
324,311,62516,35.812020922531
211,133,59524,5.09584770146155
211,112,62454,10.3667885407086
133,112,59560,6.09448855439236
211,121,59550,0.951874208600901
211,121,59320,14.9959930663866
231,121,62685,5.88766567899609
211,112,62863,8.19145669817869
311,324,59586,6.39909976210912
231,133,59586,7.00185200490325
211,133,59586,5.51265805780516
242,131,59586,6.66375851143419
131,131,59586,4.85228154448356
211,133,59005,5.30168558390135
211,112,59005,5.26893241590023
324,311,62585,7.51382245072031
211,112,62224,6.14036923874687
211,133,59051,5.80825533015346
311,324,62330,14.488631604649
324,311,62126,29.1218826603032
211,121,62126,4.91311171070571
211,121,62126,14.5925640924857
211,121,59258,11.6539565297081
242,112,62832,6.38357198979502
133,112,62035,5.76321223993557
311,324,59238,11.9041566183255
311,324,59238,12.3667039836848
311,324,59238,9.84818856786161
231,211,62364,6.69202608143981
231,211,62364,12.2121065436111
133,112,62364,13.343414747376
133,121,62364,7.64760812376724
133,112,62132,9.72746295421281
211,112,62349,8.52235645512236
133,112,62318,31.5388911094831
211,121,59398,0.144747070611986
133,142,59398,25.2180409323471
211,142,59398,6.76671024310541
133,112,59398,5.2138985432459
211,121,59466,21.0500716196609
211,121,59197,4.73876749401433
211,133,62401,4.49262969458967
211,133,62051,8.44057334269757
312,324,62257,7.28504693013531
324,311,62257,8.67780450895475
133,112,62246,0.0978183914028067
211,121,62246,5.06303001008787
211,121,62847,0.542226799865622
211,121,62735,0.0682874426651061
211,112,62735,10.3651277000616
211,112,62735,0.34989660043444
324,311,62823,0.150543878241889
211,112,62200,6.85273965545941
133,112,62276,6.5652555859505
211,112,62276,8.11853991893107
211,142,59129,0.219878027584749
231,211,62342,6.5973314326485
211,121,62215,7.33119431225659
133,112,62215,8.61260237277369
211,133,62215,5.48587343189201
211,112,62215,6.16758722090006
211,133,62217,2.129156338531
211,133,62340,3.55571715054877
211,121,62907,0.471811274017598
133,112,62907,14.4955388233478
133,121,62907,13.4702750474718
211,121,59462,0.580045841921252
211,121,59123,14.1446099359365
211,112,62480,5.38886161657042
311,324,59153,27.7561321950616
311,324,59153,9.52983199809353
133,112,59153,5.8937997522235
324,311,59153,31.9903191844603
311,324,59153,63.6189185694341
231,112,59153,11.6462602703186
324,311,59153,4.95816128220062
311,324,59153,0.238346970682726
211,133,62178,21.5097836218063
211,133,62445,0.103985194803883
324,133,62895,23.6873175054532
324,133,62842,1.61662013317345
211,112,62842,12.7635316002404
211,121,62842,21.3242908329169
231,133,62842,6.08145264306748
133,112,62842,12.332923268477
311,324,59427,12.0419904652984
311,324,59592,2.42403842148511
231,133,59592,0.000284536363777251
311,324,62738,5.08026023145701
133,112,59630,3.11942105950701
231,133,59630,5.19028862984755
133,112,62464,7.203290765756
131,211,62197,8.05914172275941
311,324,62752,7.69748673192042
211,112,62563,6.45812699723791
133,121,62637,0.0475541550623928
211,133,59449,10.509966283406
231,211,62069,7.80853141579242
311,324,62094,0.904009169951672
311,324,62588,14.0016265109041
231,133,62799,5.83491643891228
211,133,62457,5.51343134815685
231,133,62457,2.59715616389047
211,133,62270,3.0542741057703
211,133,62033,5.76292997594141
211,112,62033,3.94625607181987
133,112,62498,0.303004203319098
211,131,62250,11.8704339568921
211,131,62413,0.199887982591191
211,112,62413,1.31039738438068
141,112,62386,5.44324843690455
211,121,62386,6.74066155316493
133,112,62528,5.37977076186752
211,133,62274,95.7178687387412
231,121,62274,21.1095159851033
231,132,62274,10.0608963614046
231,112,62274,6.42503271794352
242,121,62274,18.2412170381386
242,112,62274,8.26239483215146
211,121,62274,0.190626451644703
211,133,59452,12.0601626039011
311,324,59253,8.72342014298772
311,324,59253,44.5061851797733
324,311,59253,2.71445591593194
311,324,59253,5.89866641664983
311,324,59479,18.9888562748443
324,311,59479,10.8338126145312
311,324,59479,9.78312402800151
324,311,59479,77.2367790254894
324,311,59479,20.5159848822153
311,324,59479,3.47971705466073
311,324,59591,8.23304960824519
324,311,59591,14.0563127050225
311,324,59591,0.482899335032405
211,121,59554,3.84148478327186
211,121,59511,16.2276631938775
121,121,59511,0.401450712779589
211,121,59109,4.45683879076887
121,121,59109,8.20081755669375
311,324,59109,1.36281074316837
231,211,62177,8.64368570656661
