nom,insee,POPULATION,departement,region,epci
Pierrerue,34201,292,34,76,200042653
Faucigny,74122,593,74,84,247400666
Beaupréau-en-Mauges,49023,22965,49,52,200060010
Les Plans,34205,286,34,76,200017341
Issel,11175,493,11,76,200035855
Trambly,71546,395,71,27,200071645
Saint-Alban-Auriolles,07207,1068,07,84,200039808
Lordat,09171,58,09,76,200066363
Canville-les-Deux-Églises,76158,330,76,28,200069847
Monchy-sur-Eu,76442,589,76,28,247600588
Quetteville,14528,375,14,28,200066827
Guilers,29069,7967,29,53,242900314
Clamecy,02198,224,02,32,240200501
La Moncelle,08294,138,08,44,200041630
Sarry,51525,2063,51,44,200066876
Châtenoy,45084,480,45,24,200067676
Val-de-Roulans,25579,189,25,27,242504447
Douvaine,74105,5716,74,84,200067551
Noves,13066,5761,13,93,200035087
La Versanne,42329,366,42,84,244200622
Corbeilles,45103,1544,45,24,244500419
Ciez,58077,375,58,27,200067916
Gazaupouy,32143,302,32,76,243200417
Feissons-sur-Salins,73113,190,73,84,200040798
Lay,42118,739,42,84,244200630
Sallèles-Cabardès,11368,116,11,76,200035715
Le Beaucet,84011,343,84,93,248400053
Hercé,53115,309,53,52,245300389
Vivy,49378,2574,49,52,200071876
Versonnex,74297,610,74,84,247400740
Sauzé-Vaussais,79307,1626,79,75,200069755
Versols-et-Lapeyre,12292,440,12,76,200067155
Les Mages,30152,2065,30,76,200066918
Méry-Bissières-en-Auge,14410,1152,14,28,200069532
Serres-sur-Arget,09293,748,09,76,200067791
Griesbach-au-Val,68109,741,68,44,246800585
Calvisson,30062,5455,30,76,243000296
Mecé,35170,601,35,53,200039022
Pelleautier,05100,684,05,93,200067825
Saint-Hilaire-en-Morvan,58244,213,58,27,200067890
Compreignac,87047,1823,87,75,200066512
Vieillevigne,31576,317,31,76,200071298
Fos,34104,96,34,76,200071058
Montriond,74188,902,74,84,247400682
Pontorson,50410,4364,50,28,200069425
Saint-Saturnin,48181,63,48,76,200069268
Fourques,66084,1237,66,76,246600449
Esquiule,64217,537,64,75,200067262
Cogners,72085,200,72,52,200072692
Lezay,79148,2058,79,75,200069755
Saint-Laurent-du-Pape,07261,1562,07,84,200071413
Flin,54199,373,54,44,200070324
Andrésy,78015,12403,78,11,200059889
Dournon,39202,134,39,27,200071595
Soyaux,16374,9295,16,75,200071827
La Cour-Marigny,45112,338,45,24,200067676
Saint-Armel,35250,1845,35,53,243500139
Orsennes,36146,772,36,24,200007052
Coivert,17114,219,17,75,200041689
Épiez-sur-Meuse,55173,41,55,44,200066157
Joannas,07109,311,07,84,240700617
Péreyres,07173,51,07,84,200039824
Bourisp,65106,158,65,76,246500573
Promilhanes,46227,219,46,76,200069383
Saint-Martin-d'Aubigny,50510,595,50,28,200067031
Landerrouat,33223,202,33,75,243301371
Cintré,35080,2236,35,53,243500139
Vierville,28408,137,28,24,200069953
Valleroy-le-Sec,88490,175,88,44,200068682
Senoncourt-les-Maujouy,55482,86,55,44,200066165
Fessanvilliers-Mattanvilliers,28151,175,28,24,200040277
Avezac-Prat-Lahitte,65054,592,65,76,200070787
Vendœuvres,36232,1098,36,24,243600301
Toutenant,71544,189,71,27,200040038
Teyssieu,46315,179,46,76,200066371
Ferrières-lès-Scey,70232,126,70,27,247000367
Tessé-Froulay,61482,387,61,28,200068443
Gesnes-en-Argonne,55208,56,55,44,200066116
Aujeurres,52027,88,52,44,200027308
Villers-lès-Cagnicourt,62858,264,62,32,200044048
Vaychis,09325,23,09,76,200066363
Séez,73285,2398,73,84,247300254
Plélo,22182,3376,22,53,200069086
Les Baux-de-Provence,13011,391,13,93,241300375
Fromelles,59257,906,59,32,245900410
Charmont,95141,30,95,11,249500513
Fenouillet-du-Razès,11139,93,11,76,200035707
Domalain,35097,1985,35,53,200039022
Faverois,90043,578,90,27,249000241
Ronchaux,25500,90,25,27,200068070
Bessins,38041,123,38,84,200070431
Salerm,31522,53,31,76,200072643
Remilly-Wirquin,62702,340,62,32,246201016
Céreste,04045,1194,04,93,200040624
Le Castellet,83035,3947,83,93,248300394
Murol,63247,574,63,84,246300966
La Tardière,85289,1307,85,52,248500415
Fuans,25262,486,25,27,242504181
Carentan les Marais,50099,7920,50,28,200042729
Massanes,30161,195,30,76,200066918
Juaye-Mondaye,14346,669,14,28,241400555
Val de Briey,54099,8293,54,44,200070845
Auriol,13007,11538,13,93,200054807
Savianges,71505,76,71,27,247104094
Chaniers,17086,3567,17,75,200036473
Chaumont,89093,654,89,27,248900896
Dannemarie,25194,112,25,27,200065647
Larodde,63190,267,63,84,200069169
Saint-Médard-de-Mussidan,24462,1719,24,75,200069094
Ecques,62288,2095,62,32,200069037
Berville-sur-Seine,76088,561,76,28,200023414
Bouguenais,44020,18815,44,52,244400404
Asnières-sur-Seine,92004,86512,92,11,200054781
Le Fied,39225,202,39,27,200071595
Saint-Saire,76649,646,76,28,200070068
Monchy-Lagache,80555,669,80,32,200070985
Saint-Cloud,92064,29362,92,11,200054781
Les Achards,85152,4925,85,52,248500530
Dimbsthal,67096,311,67,44,200068112
Thannenkirch,68335,438,68,44,246800577
Achenheim,67001,2042,67,44,246700488
Ternay,41255,341,41,24,200072072
Crevant,36060,722,36,24,200007052
Tignes,73296,2569,73,84,247300254
Ginasservis,83066,1709,83,93,200040202
Naillat,23141,668,23,75,200067510
Vendenheim,67506,5512,67,44,246700488
Estissac,10142,1885,10,44,200069250
Coincy,02203,1341,02,32,200072031
Lez-Fontaine,59342,234,59,32,200043263
Tricot,60643,1504,60,32,246000566
Saint-Hippolyte-de-Montaigu,30262,253,30,76,200034379
Eclassan,07084,992,07,84,200040491
Condat-sur-Ganaveix,19060,656,19,75,241927243
Dricourt,08147,86,08,44,240800920
Beaumont-en-Argonne,08055,440,08,44,240800847
Saint-Martin-des-Puits,11354,27,11,76,200035863
Monestier,24276,376,24,75,200070647
Seillonnaz,01400,138,01,84,240100883
Boutiers-Saint-Trojan,16058,1462,16,75,200070514
Croix-Moligneaux,80226,298,80,32,200070985
Charnay,69047,1067,69,84,200040574
Romazy,35244,273,35,53,200070688
Racquinghem,62684,2308,62,32,200069037
Boissy-lès-Perche,28046,506,28,24,200069912
Saffloz,39473,108,39,27,243900719
Neuville-Saint-Rémy,59428,3833,59,32,200068500
Mouchard,39370,1130,39,27,243900420
Torchamp,61487,293,61,28,200068443
Sorèze,81288,2774,81,76,243100567
Oye-Plage,62645,5346,62,32,246200844
Liginiac,19113,583,19,75,200066744
Belleserre,81027,167,81,76,243100567
Savigny-en-Sancerre,18246,1002,18,24,200069227
Parnes,60487,350,60,32,246000707
Continvoir,37082,420,37,24,200072981
Magny-Jobert,70319,107,70,27,247000664
Housset,02385,155,02,32,240200444
Saint-Vaast-d'Équiqueville,76652,735,76,28,247600729
Saint-Vallerin,71485,267,71,27,247104094
Roquecor,82151,419,82,76,200040418
Lanvollon,22121,1749,22,53,200069086
Gimat,82068,220,82,76,248200065
Matignon,22143,1643,22,53,200068989
Lampaul-Guimiliau,29097,2079,29,53,242900751
Riel-les-Eaux,21524,92,21,27,242101434
Gerville,76300,397,76,28,200069821
Rimbach-près-Guebwiller,68274,203,68,44,246800569
Condé-lès-Autry,08128,74,08,44,240800920
Rupt-sur-Moselle,88408,3456,88,44,200033868
Hymont,88246,478,88,44,200068369
Bulle,25100,421,25,27,242504496
Sainte-Geneviève-des-Bois,91549,35857,91,11,200057859
Provin,59477,4194,59,32,245901061
Landéda,29101,3575,29,53,242900553
Montenils,77304,28,77,11,200072544
Gaudiempré,62368,197,62,32,200069482
Villerouge-Termenès,11435,137,11,76,200035863
Romilly-sur-Andelle,27493,3229,27,28,200070142
Peyrole,81208,553,81,76,200066124
Luc-sur-Orbieu,11210,1136,11,76,200035863
Chauvac-Laux-Montaux,26091,44,26,84,200068229
Villiers-sous-Mortagne,61507,298,61,28,200036069
Saujon,17421,7202,17,75,241700640
Saint-Père,58261,1120,58,27,200067916
Le Coudray,28110,4220,28,24,200033181
Saillac,19179,212,19,75,200066769
Massilly,71287,361,71,27,200040293
Dompierre-sur-Mont,39200,245,39,27,243901071
Prendeignes,46226,227,46,76,200067361
La Chapelle-Montmartin,41038,436,41,24,200018406
Louvigné-de-Bais,35161,1845,35,53,200039022
Avesnes-Chaussoy,80048,65,80,32,200071181
Livilliers,95341,390,95,11,249500430
Astugue,65043,265,65,76,246500482
Le Pin,77363,1411,77,11,200033090
Cozes,17131,2130,17,75,241700640
Derbamont,88129,104,88,44,200068369
Saint-Germain-d'Esteuil,33412,1214,33,75,200069995
