insee,nom,département,région,zpc,interregion,groupe SER,GRECO,Rad 13,bassin populicole,population,,stock/flux?,occupation du sol (niveau 1),occupation du sol (niveau 2),surface (ha),linéaire haies (km),réservoir,usage produit bois,approche calculation produits bois,récolte locale (m3/an),ratio récolte France,ratio population France,stock de réf (tC/ha),stock de réf (tC/km),stock (tC),,occupation du sol initiale (niveau 1),occupation du sol initiale (niveau 2),occupation du sol finale (niveau 1),occupation du sol finale (niveau 2),surface moyenne convertie (ha/an),Accroissement biologique unitaire (m3 BFT/ha/an),Mortalité unitaire (m3 BFT/ha/an),Prélèvements de bois unitaire (m3 BFT/ha/an),Bilan total unitaire (m3 BFT/ha/an),Facteur de conversion (tC/m3 BFT),flux unitaire (tCO2e/ha/an),flux (tCO2e/an)
19201,Saint-Exupéry-les-Roches,19,75,2_3,SUD-OUEST,G1,G,NAQ,Sud,585,,stock,cultures,cultures,581,,sol,,,,,,52,,30216,,,,,,,,,,,,,
19201,Saint-Exupéry-les-Roches,19,75,2_3,SUD-OUEST,G1,G,NAQ,Sud,585,,stock,cultures,cultures,581,,biomasse,,,,,,0,,0,,,,,,,,,,,,,
19201,Saint-Exupéry-les-Roches,19,75,2_3,SUD-OUEST,G1,G,NAQ,Sud,585,,stock,zones humides,zones humides,7,,sol,,,,,,125,,837,,,,,,,,,,,,,
19201,Saint-Exupéry-les-Roches,19,75,2_3,SUD-OUEST,G1,G,NAQ,Sud,585,,stock,zones humides,zones humides,7,,biomasse,,,,,,0,,0,,,,,,,,,,,,,
19201,Saint-Exupéry-les-Roches,19,75,2_3,SUD-OUEST,G1,G,NAQ,Sud,585,,stock,prairies,prairies zones arbustives,0,,sol,,,,,,89,,0,,,,,,,,,,,,,
19201,Saint-Exupéry-les-Roches,19,75,2_3,SUD-OUEST,G1,G,NAQ,Sud,585,,stock,prairies,prairies zones arbustives,0,,biomasse,,,,,,7,,0,,,,,,,,,,,,,
19201,Saint-Exupéry-les-Roches,19,75,2_3,SUD-OUEST,G1,G,NAQ,Sud,585,,stock,prairies,prairies zones herbacées,1298,,sol,,,,,,89,,115501,,,,,,,,,,,,,
19201,Saint-Exupéry-les-Roches,19,75,2_3,SUD-OUEST,G1,G,NAQ,Sud,585,,stock,prairies,prairies zones herbacées,1298,,biomasse,,,,,,0,,0,,,,,,,,,,,,,
19201,Saint-Exupéry-les-Roches,19,75,2_3,SUD-OUEST,G1,G,NAQ,Sud,585,,stock,prairies,prairies zones arborées,0,,sol,,,,,,89,,0,,,,,,,,,,,,,
19201,Saint-Exupéry-les-Roches,19,75,2_3,SUD-OUEST,G1,G,NAQ,Sud,585,,stock,prairies,prairies zones arborées,0,,biomasse,,,,,,31,,0,,,,,,,,,,,,,
19201,Saint-Exupéry-les-Roches,19,75,2_3,SUD-OUEST,G1,G,NAQ,Sud,585,,stock,sols artificiels,sols artificiels imperméabilisés,77,,sol,,,,,,30,,2299,,,,,,,,,,,,,
19201,Saint-Exupéry-les-Roches,19,75,2_3,SUD-OUEST,G1,G,NAQ,Sud,585,,stock,sols artificiels,sols artificiels imperméabilisés,77,,biomasse,,,,,,0,,0,,,,,,,,,,,,,
19201,Saint-Exupéry-les-Roches,19,75,2_3,SUD-OUEST,G1,G,NAQ,Sud,585,,stock,sols artificiels,sols artificiels enherbés et arbustifs,19,,sol,,,,,,89,,1691,,,,,,,,,,,,,
19201,Saint-Exupéry-les-Roches,19,75,2_3,SUD-OUEST,G1,G,NAQ,Sud,585,,stock,sols artificiels,sols artificiels enherbés et arbustifs,19,,biomasse,,,,,,7,,133,,,,,,,,,,,,,
19201,Saint-Exupéry-les-Roches,19,75,2_3,SUD-OUEST,G1,G,NAQ,Sud,585,,stock,sols artificiels,sols artificiels arborés,0,,sol,,,,,,79,,0,,,,,,,,,,,,,
19201,Saint-Exupéry-les-Roches,19,75,2_3,SUD-OUEST,G1,G,NAQ,Sud,585,,stock,sols artificiels,sols artificiels arborés,0,,biomasse,,,,,,31,,0,,,,,,,,,,,,,
19201,Saint-Exupéry-les-Roches,19,75,2_3,SUD-OUEST,G1,G,NAQ,Sud,585,,stock,vergers,vergers,0,,sol,,,,,,46,,0,,,,,,,,,,,,,
19201,Saint-Exupéry-les-Roches,19,75,2_3,SUD-OUEST,G1,G,NAQ,Sud,585,,stock,vergers,vergers,0,,biomasse,,,,,,16,,0,,,,,,,,,,,,,
19201,Saint-Exupéry-les-Roches,19,75,2_3,SUD-OUEST,G1,G,NAQ,Sud,585,,stock,vignes,vignes,0,,sol,,,,,,39,,0,,,,,,,,,,,,,
19201,Saint-Exupéry-les-Roches,19,75,2_3,SUD-OUEST,G1,G,NAQ,Sud,585,,stock,vignes,vignes,0,,biomasse,,,,,,5,,0,,,,,,,,,,,,,
19201,Saint-Exupéry-les-Roches,19,75,2_3,SUD-OUEST,G1,G,NAQ,Sud,585,,stock,forêts,forêt mixte,626,,sol,,,,,,79,,49454,,,,,,,,,,,,,
19201,Saint-Exupéry-les-Roches,19,75,2_3,SUD-OUEST,G1,G,NAQ,Sud,585,,stock,forêts,forêt mixte,626,,biomasse vivante,,,,,,113,,70738,,,,,,,,,,,,,
19201,Saint-Exupéry-les-Roches,19,75,2_3,SUD-OUEST,G1,G,NAQ,Sud,585,,stock,forêts,forêt mixte,626,,biomasse morte,,,,,,13,,8138,,,,,,,,,,,,,
19201,Saint-Exupéry-les-Roches,19,75,2_3,SUD-OUEST,G1,G,NAQ,Sud,585,,stock,forêts,forêt mixte,626,,litière,,,,,,9,,5634,,,,,,,,,,,,,
19201,Saint-Exupéry-les-Roches,19,75,2_3,SUD-OUEST,G1,G,NAQ,Sud,585,,stock,forêts,forêt feuillu,450,,sol,,,,,,79,,35550,,,,,,,,,,,,,
