insee,nom,epci,departement,region,zpc,inter_region,groupe_ser,greco,rad_13,bassin_populicole,population,gaz,reservoir,usage_produits_bois,approche_calculation_produits_bois,recolte_locale_m3_an-1,ratio_recolte_France,ratio_population_France,occupation_du_sol_initiale_1,occupation_du_sol_initiale_2,occupation_du_sol_finale_1,occupation_du_sol_finale_2,surface_moyenne_convertie_ha_an-1,occupation_du_sol_1,occupation_du_sol_2,surface_ha,accroissement_biologique_unitaire_m3_BFT_ha-1_an-1,mortalite_biologique_unitaire_m3_BFT_ha-1_an-1,prelevements_de_bois_unitaire_m3_BFT_ha-1_an-1,prelevements_de_bois_unitaire_m3_BFT_ha-1_an-1,bilan_total_unitaire_m3_BFT_ha-1_an-1,facteur_de_conversion_tC_m3_BFT-1,flux_unitaire_tCO2e_ha-1_an-1,flux_tCO2e_an-1
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,cultures,cultures,prairies,prairies zones arborées,0,,,,,,,,,,0.8799999999999999,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,biomasse vivante,,,,,,cultures,cultures,prairies,prairies zones arborées,0,,,,,,,,,,8.066666666666668,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,cultures,cultures,prairies,prairies zones herbacées,0,,,,,,,,,,0.8799999999999999,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,cultures,cultures,prairies,prairies zones arbustives,0,,,,,,,,,,0.8799999999999999,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,biomasse vivante,,,,,,cultures,cultures,prairies,prairies zones arbustives,0,,,,,,,,,,1.2833333333333332,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,cultures,cultures,zones humides,zones humides,0,,,,,,,,,,300.6666666666667,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,cultures,cultures,vergers,vergers,0,,,,,,,,,,0,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,biomasse vivante,,,,,,cultures,cultures,vergers,vergers,0,,,,,,,,,,2.9333333333333336,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,cultures,cultures,vignes,vignes,0,,,,,,,,,,0,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,biomasse vivante,,,,,,cultures,cultures,vignes,vignes,0,,,,,,,,,,0.9166666666666666,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,cultures,cultures,sols artificiels,sols artificiels arbustifs,0,,,,,,,,,,44,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,biomasse vivante,,,,,,cultures,cultures,sols artificiels,sols artificiels arbustifs,0,,,,,,,,,,1.2833333333333332,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,cultures,cultures,sols artificiels,sols artificiels imperméabilisés,0,,,,,,,,,,-47.666666666666664,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,cultures,cultures,sols artificiels,sols artificiels arborés et buissonants,0,,,,,,,,,,146.66666666666666,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,litière,,,,,,cultures,cultures,sols artificiels,sols artificiels arborés et buissonants,0,,,,,,,,,,33,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,biomasse vivante,,,,,,cultures,cultures,sols artificiels,sols artificiels arborés et buissonants,0,,,,,,,,,,8.066666666666668,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,cultures,cultures,forêts,forêt mixte,0,,,,,,,,,,2.163333333333333,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,litière,,,,,,cultures,cultures,forêts,forêt mixte,0,,,,,,,,,,33,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,cultures,cultures,forêts,forêt feuillu,0,,,,,,,,,,2.163333333333333,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,litière,,,,,,cultures,cultures,forêts,forêt feuillu,0,,,,,,,,,,33,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,cultures,cultures,forêts,forêt conifere,0,,,,,,,,,,2.163333333333333,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,litière,,,,,,cultures,cultures,forêts,forêt conifere,0,,,,,,,,,,33,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,cultures,cultures,forêts,forêt peupleraie,0,,,,,,,,,,2.163333333333333,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,litière,,,,,,cultures,cultures,forêts,forêt peupleraie,0,,,,,,,,,,33,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,prairies,prairies zones arborées,cultures,cultures,0,,,,,,,,,,-1.6866666666666668,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,biomasse vivante,,,,,,prairies,prairies zones arborées,cultures,cultures,0,,,,,,,,,,-161.33333333333334,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,biomasse vivante,,,,,,prairies,prairies zones arborées,prairies,prairies zones herbacées,0,,,,,,,,,,-161.33333333333334,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,biomasse vivante,,,,,,prairies,prairies zones arborées,prairies,prairies zones arbustives,0,,,,,,,,,,-135.66666666666666,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,prairies,prairies zones arborées,zones humides,zones humides,0,,,,,,,,,,256.6666666666667,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,biomasse vivante,,,,,,prairies,prairies zones arborées,zones humides,zones humides,0,,,,,,,,,,-209,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,prairies,prairies zones arborées,vergers,vergers,0,,,,,,,,,,-1.2466666666666668,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,biomasse vivante,,,,,,prairies,prairies zones arborées,vergers,vergers,0,,,,,,,,,,-102.66666666666667,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,prairies,prairies zones arborées,vignes,vignes,0,,,,,,,,,,-2.236666666666667,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,biomasse vivante,,,,,,prairies,prairies zones arborées,vignes,vignes,0,,,,,,,,,,-143,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,prairies,prairies zones arborées,sols artificiels,sols artificiels arbustifs,0,,,,,,,,,,0,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,biomasse vivante,,,,,,prairies,prairies zones arborées,sols artificiels,sols artificiels arbustifs,0,,,,,,,,,,-135.66666666666666,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,prairies,prairies zones arborées,sols artificiels,sols artificiels imperméabilisés,0,,,,,,,,,,-91.66666666666667,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,biomasse vivante,,,,,,prairies,prairies zones arborées,sols artificiels,sols artificiels imperméabilisés,0,,,,,,,,,,-161.33333333333334,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,prairies,prairies zones arborées,sols artificiels,sols artificiels arborés et buissonants,0,,,,,,,,,,2.09,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,litière,,,,,,prairies,prairies zones arborées,sols artificiels,sols artificiels arborés et buissonants,0,,,,,,,,,,33,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,prairies,prairies zones arborées,forêts,forêt mixte,0,,,,,,,,,,2.09,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,litière,,,,,,prairies,prairies zones arborées,forêts,forêt mixte,0,,,,,,,,,,33,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,prairies,prairies zones arborées,forêts,forêt feuillu,0,,,,,,,,,,2.09,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,litière,,,,,,prairies,prairies zones arborées,forêts,forêt feuillu,0,,,,,,,,,,33,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,prairies,prairies zones arborées,forêts,forêt conifere,0,,,,,,,,,,2.09,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,litière,,,,,,prairies,prairies zones arborées,forêts,forêt conifere,0,,,,,,,,,,33,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,prairies,prairies zones arborées,forêts,forêt peupleraie,0,,,,,,,,,,2.09,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,litière,,,,,,prairies,prairies zones arborées,forêts,forêt peupleraie,0,,,,,,,,,,33,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,prairies,prairies zones herbacées,cultures,cultures,0,,,,,,,,,,-1.6866666666666668,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,biomasse vivante,,,,,,prairies,prairies zones herbacées,prairies,prairies zones arborées,0,,,,,,,,,,8.066666666666668,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,biomasse vivante,,,,,,prairies,prairies zones herbacées,prairies,prairies zones arbustives,0,,,,,,,,,,1.2833333333333332,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,prairies,prairies zones herbacées,zones humides,zones humides,0,,,,,,,,,,256.6666666666667,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,prairies,prairies zones herbacées,vergers,vergers,0,,,,,,,,,,-1.2466666666666668,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,biomasse vivante,,,,,,prairies,prairies zones herbacées,vergers,vergers,0,,,,,,,,,,2.9333333333333336,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,prairies,prairies zones herbacées,vignes,vignes,0,,,,,,,,,,-2.236666666666667,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,biomasse vivante,,,,,,prairies,prairies zones herbacées,vignes,vignes,0,,,,,,,,,,0.9166666666666666,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,prairies,prairies zones herbacées,sols artificiels,sols artificiels arbustifs,0,,,,,,,,,,0,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,biomasse vivante,,,,,,prairies,prairies zones herbacées,sols artificiels,sols artificiels arbustifs,0,,,,,,,,,,1.2833333333333332,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,prairies,prairies zones herbacées,sols artificiels,sols artificiels imperméabilisés,0,,,,,,,,,,-91.66666666666667,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,prairies,prairies zones herbacées,sols artificiels,sols artificiels arborés et buissonants,0,,,,,,,,,,2.09,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,litière,,,,,,prairies,prairies zones herbacées,sols artificiels,sols artificiels arborés et buissonants,0,,,,,,,,,,33,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,biomasse vivante,,,,,,prairies,prairies zones herbacées,sols artificiels,sols artificiels arborés et buissonants,0,,,,,,,,,,8.066666666666668,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,prairies,prairies zones herbacées,forêts,forêt mixte,0,,,,,,,,,,2.09,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,litière,,,,,,prairies,prairies zones herbacées,forêts,forêt mixte,0,,,,,,,,,,33,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,prairies,prairies zones herbacées,forêts,forêt feuillu,0,,,,,,,,,,2.09,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,litière,,,,,,prairies,prairies zones herbacées,forêts,forêt feuillu,0,,,,,,,,,,33,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,prairies,prairies zones herbacées,forêts,forêt conifere,0,,,,,,,,,,2.09,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,litière,,,,,,prairies,prairies zones herbacées,forêts,forêt conifere,0,,,,,,,,,,33,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,prairies,prairies zones herbacées,forêts,forêt peupleraie,0,,,,,,,,,,2.09,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,litière,,,,,,prairies,prairies zones herbacées,forêts,forêt peupleraie,0,,,,,,,,,,33,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,prairies,prairies zones arbustives,cultures,cultures,0,,,,,,,,,,-1.6866666666666668,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,biomasse vivante,,,,,,prairies,prairies zones arbustives,cultures,cultures,0,,,,,,,,,,-25.666666666666668,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,biomasse vivante,,,,,,prairies,prairies zones arbustives,prairies,prairies zones arborées,0,,,,,,,,,,6.783333333333334,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,biomasse vivante,,,,,,prairies,prairies zones arbustives,prairies,prairies zones herbacées,0,,,,,,,,,,-25.666666666666668,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,prairies,prairies zones arbustives,zones humides,zones humides,0,,,,,,,,,,256.6666666666667,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,biomasse vivante,,,,,,prairies,prairies zones arbustives,zones humides,zones humides,0,,,,,,,,,,-25.666666666666668,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,prairies,prairies zones arbustives,vergers,vergers,0,,,,,,,,,,-1.2466666666666668,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,biomasse vivante,,,,,,prairies,prairies zones arbustives,vergers,vergers,0,,,,,,,,,,1.6500000000000001,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,prairies,prairies zones arbustives,vignes,vignes,0,,,,,,,,,,-2.236666666666667,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,biomasse vivante,,,,,,prairies,prairies zones arbustives,vignes,vignes,0,,,,,,,,,,-7.333333333333333,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,prairies,prairies zones arbustives,sols artificiels,sols artificiels arbustifs,0,,,,,,,,,,0,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,prairies,prairies zones arbustives,sols artificiels,sols artificiels imperméabilisés,0,,,,,,,,,,-91.66666666666667,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,biomasse vivante,,,,,,prairies,prairies zones arbustives,sols artificiels,sols artificiels imperméabilisés,0,,,,,,,,,,-25.666666666666668,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,prairies,prairies zones arbustives,sols artificiels,sols artificiels arborés et buissonants,0,,,,,,,,,,2.09,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,litière,,,,,,prairies,prairies zones arbustives,sols artificiels,sols artificiels arborés et buissonants,0,,,,,,,,,,33,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,biomasse vivante,,,,,,prairies,prairies zones arbustives,sols artificiels,sols artificiels arborés et buissonants,0,,,,,,,,,,6.783333333333334,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,prairies,prairies zones arbustives,forêts,forêt mixte,0,,,,,,,,,,2.09,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,litière,,,,,,prairies,prairies zones arbustives,forêts,forêt mixte,0,,,,,,,,,,33,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,prairies,prairies zones arbustives,forêts,forêt feuillu,0,,,,,,,,,,2.09,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,litière,,,,,,prairies,prairies zones arbustives,forêts,forêt feuillu,0,,,,,,,,,,33,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,prairies,prairies zones arbustives,forêts,forêt conifere,0,,,,,,,,,,2.09,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,litière,,,,,,prairies,prairies zones arbustives,forêts,forêt conifere,0,,,,,,,,,,33,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,prairies,prairies zones arbustives,forêts,forêt peupleraie,0,,,,,,,,,,2.09,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,litière,,,,,,prairies,prairies zones arbustives,forêts,forêt peupleraie,0,,,,,,,,,,33,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,zones humides,zones humides,cultures,cultures,0,,,,,,,,,,-300.6666666666667,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,zones humides,zones humides,prairies,prairies zones arborées,0,,,,,,,,,,-256.6666666666667,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,biomasse vivante,,,,,,zones humides,zones humides,prairies,prairies zones arborées,0,,,,,,,,,,8.066666666666668,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,zones humides,zones humides,prairies,prairies zones herbacées,0,,,,,,,,,,-256.6666666666667,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,zones humides,zones humides,prairies,prairies zones arbustives,0,,,,,,,,,,-256.6666666666667,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,biomasse vivante,,,,,,zones humides,zones humides,prairies,prairies zones arbustives,0,,,,,,,,,,1.2833333333333332,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,zones humides,zones humides,vergers,vergers,0,,,,,,,,,,-300.6666666666667,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,biomasse vivante,,,,,,zones humides,zones humides,vergers,vergers,0,,,,,,,,,,2.9333333333333336,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,zones humides,zones humides,vignes,vignes,0,,,,,,,,,,-300.6666666666667,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,biomasse vivante,,,,,,zones humides,zones humides,vignes,vignes,0,,,,,,,,,,0.9166666666666666,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,zones humides,zones humides,sols artificiels,sols artificiels arbustifs,0,,,,,,,,,,-256.6666666666667,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,biomasse vivante,,,,,,zones humides,zones humides,sols artificiels,sols artificiels arbustifs,0,,,,,,,,,,1.2833333333333332,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,zones humides,zones humides,sols artificiels,sols artificiels imperméabilisés,0,,,,,,,,,,-348.3333333333333,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,zones humides,zones humides,sols artificiels,sols artificiels arborés et buissonants,0,,,,,,,,,,-154,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,litière,,,,,,zones humides,zones humides,sols artificiels,sols artificiels arborés et buissonants,0,,,,,,,,,,33,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,biomasse vivante,,,,,,zones humides,zones humides,sols artificiels,sols artificiels arborés et buissonants,0,,,,,,,,,,8.066666666666668,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,zones humides,zones humides,forêts,forêt mixte,0,,,,,,,,,,-154,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,litière,,,,,,zones humides,zones humides,forêts,forêt mixte,0,,,,,,,,,,33,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,zones humides,zones humides,forêts,forêt feuillu,0,,,,,,,,,,-154,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,litière,,,,,,zones humides,zones humides,forêts,forêt feuillu,0,,,,,,,,,,33,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,zones humides,zones humides,forêts,forêt conifere,0,,,,,,,,,,-154,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,litière,,,,,,zones humides,zones humides,forêts,forêt conifere,0,,,,,,,,,,33,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,zones humides,zones humides,forêts,forêt peupleraie,0,,,,,,,,,,-154,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,litière,,,,,,zones humides,zones humides,forêts,forêt peupleraie,0,,,,,,,,,,33,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,vergers,vergers,cultures,cultures,0,,,,,,,,,,0,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,biomasse vivante,,,,,,vergers,vergers,cultures,cultures,0,,,,,,,,,,-58.666666666666664,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,vergers,vergers,prairies,prairies zones arborées,0,,,,,,,,,,0.66,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,biomasse vivante,,,,,,vergers,vergers,prairies,prairies zones arborées,0,,,,,,,,,,5.133333333333333,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,vergers,vergers,prairies,prairies zones herbacées,0,,,,,,,,,,0.66,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,biomasse vivante,,,,,,vergers,vergers,prairies,prairies zones herbacées,0,,,,,,,,,,-58.666666666666664,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,vergers,vergers,prairies,prairies zones arbustives,0,,,,,,,,,,0.66,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,biomasse vivante,,,,,,vergers,vergers,prairies,prairies zones arbustives,0,,,,,,,,,,-33,0
34201,Pierrerue,200042653,34,76,2_2,SUD-EST,G8,G,OCC,Sud,292,C,sol,,,,,,vergers,vergers,zones humides,zones humides,0,,,,,,,,,,300.6666666666667,0
