type_localisation,code_localisation,nom_localisation,composition,surface_ic,surface_(ha),volume_(m3),volume_(m3∙ha-1),carbone_(tC),carbone_(tC∙ha-1),bois_mort_volume_(m3),bois_mort_volume_(m3∙ha-1),bois_mort_carbone_(tC),bois_mort_carbone_(tC∙ha-1),production_volume_(m3∙an-1),production_volume_(m3∙ha-1∙an-1),production_carbone_(tC∙an-1),production_carbone_(tC∙ha-1∙an-1),prelevement_volume_(m3∙an-1),prelevement_volume_(m3∙ha-1∙an-1),prelevements_carbone_(tC∙an-1),prelevement_carbone_(tC∙ha-1∙an-1),mortalite_volume_(m3∙an-1),mortalite_volume_(m3∙ha-1∙an-1),mortalite_carbone_(tC∙an-1),mortalite_carbone_(tC∙ha-1∙an-1),bilan_volume_(m3∙an-1),bilan_volume_(m3∙ha-1∙an-1),bilan_carbone_(tC∙an-1),bilan_carbone_(tC∙ha-1∙an-1),fexp_vol_carb
groupeser,A1,Grand_ouest_1,Conifere,s,54146.84,13742150.11,247.74,4608048.59,83.34,1224169.36,21.17,318339.03,5.58,630236.26,11.43,201841.73,3.67,742642.89,13.24,229400,4.11,73536.49,1.21,24658.42,0.41,-185943.12,-3.02,-52216.69,-0.85,0.34
groupeser,A1,Grand_ouest_1,Feuillu,s,342679.83,59469228.05,173.59,32393743.42,94.55,7986656.67,23.14,2666256.96,7.74,1807280.05,5.28,923979.19,2.7,469388.76,1.48,229883.92,0.73,184393.15,0.58,100441.6,0.32,1153498.14,3.22,593653.67,1.66,0.54
groupeser,A1,Grand_ouest_1,Mixte,s,39374.74,9594787.61,242.88,3926933.91,99.8,1260364.89,34.99,335487.33,9.21,374980.17,9.65,145108.86,3.74,342391.88,9.95,114645.7,3.34,35876.96,1.06,14683.65,0.43,-3288.67,-1.37,15779.52,-0.03,0.41
groupeser,AX,Grand_ouest_2_et_3,Conifere,s,35378.19,8770249.82,244.86,3288656.39,91.95,927472.09,25.42,262278.61,7.12,362898.99,10.35,131697.68,3.75,215745.59,5.88,80145.64,2.18,20863.58,0.61,7823.4,0.23,126289.82,3.85,43728.64,1.34,0.37
groupeser,AX,Grand_ouest_2_et_3,Feuillu,s,215435.96,36219550.75,168.48,19759736.68,91.95,4609257.61,21.41,1646686.3,7.65,1187358.86,5.53,619749.06,2.89,202391.46,1.09,106703.99,0.57,120854.73,0.67,65932.83,0.37,864112.67,3.78,447112.24,1.95,0.55
groupeser,AX,Grand_ouest_2_et_3,Mixte,s,24377.18,5041291.44,204.58,2313867.53,94.51,567677.15,21.15,180454.37,6.77,194424.51,7.85,86082.24,3.46,95582.03,3.94,41827.93,1.74,20122.73,0.75,9235.99,0.34,78719.74,3.16,35018.32,1.38,0.46
groupeser,B3,Centre_nord_semi_oceanique_3,Conifere,s,28054.38,7607226.68,295.06,2507641.09,96.72,670097.63,25.87,149797.9,5.75,308164.81,11.99,102528.99,3.95,242565.56,8.02,77984.84,2.57,19537.65,0.64,6440.38,0.21,46061.6,3.33,18103.78,1.17,0.33
groupeser,B3,Centre_nord_semi_oceanique_3,Feuillu,s,284115.71,63627415.59,222.81,32604713.45,114.15,6028277.45,21.06,1986771.74,6.95,1660401.81,5.82,841565.21,2.95,792065.64,2.91,410701.04,1.51,183800.21,0.68,94185.08,0.35,684535.95,2.22,336679.09,1.09,0.51
groupeser,B3,Centre_nord_semi_oceanique_3,Mixte,n.s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
groupeser,B4,Centre_nord_semi_oceanique_4,Conifere,s,38583.37,6404286.39,162.35,2259708.05,57.62,837498.71,20.3,204062.18,4.98,225864.59,5.78,79085.82,2.04,145006.86,3.79,45662.64,1.19,15626.76,0.41,5513.79,0.15,65230.97,1.58,27909.38,0.7,0.35
groupeser,B4,Centre_nord_semi_oceanique_4,Feuillu,s,554325.58,109870704.69,198.18,55696887.19,100.48,18070802.42,32.38,6117584.45,10.96,2959072.28,5.34,1449968.75,2.62,1480894.43,2.75,727946.5,1.35,739291.57,1.38,374769.96,0.7,738886.28,1.21,347252.3,0.57,0.51
groupeser,B4,Centre_nord_semi_oceanique_4,Mixte,s,36661.17,5942871.95,161.26,2476572.52,67.47,1664936.55,45.48,463420.78,12.59,162870.86,4.39,69147.27,1.88,35022.02,1.07,13232.51,0.41,25131.99,0.84,10473.25,0.35,102716.85,2.49,45441.51,1.12,0.42
