siren,SURFACE,VOLUME (m3∙ha-1),STOCK_CARBONE (tC),carbonDensity,PRODUCTION (m3∙ha-1∙an-1),PRELEVEMENT (m3∙ha-1∙an-1),MORTALITE (m3∙ha-1∙an-1),TX_PRELEV,BILAN_M3 (m3∙ha-1∙an-1),BILAN_CARB (tC∙an-1),BILAN_CARB (tC∙ha-1∙an-1),BILAN_CO2 (tCO2∙an-1),BILAN_CO2_HA (tCO2∙ha-1∙an-1),Fexp (VOL -> CARB),
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,227.8,160.9455517,11910.71449,52.28584062,12.85827091,6.528727444,0.410754629,0.524500414,5.918788838,436.7525125,1.917263005,-1601.425879,-7.029964351,0.32486664,
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
200000172,0.1,174.4933166,5.179684346,51.79684346,17.95437798,14.11320237,0.225034212,0.796036365,3.616141394,0.102056309,1.020563092,-0.374206467,-3.742064671,0.296841418,
200000438,82.3,160.9455517,4303.124683,52.28584062,12.85827091,6.528727444,0.410754629,0.524500414,5.918788838,157.7907453,1.917263005,-578.5660661,-7.029964351,0.32486664,
200000545,1051.5,168.5083947,56963.37315,54.17344094,12.37588855,8.20555535,0.499704117,0.690925221,3.670629082,1107.924628,1.053661082,-4062.390303,-3.863423969,0.321488084,
200000628,11.4,174.4933166,590.4840155,51.79684346,17.95437798,14.11320237,0.225034212,0.796036365,3.616141394,11.63441925,1.020563092,-42.65953725,-3.742064671,0.296841418,
200000800,31.8,160.9455517,1662.689732,52.28584062,12.85827091,6.528727444,0.410754629,0.524500414,5.918788838,60.96896356,1.917263005,-223.5528664,-7.029964351,0.32486664,
200000925,136.7,168.5083947,7405.509376,54.17344094,12.37588855,8.20555535,0.499704117,0.690925221,3.670629082,144.03547,1.053661082,-528.1300565,-3.863423969,0.321488084,
200000933,247.1,160.9455517,12919.83122,52.28584062,12.85827091,6.528727444,0.410754629,0.524500414,5.918788838,473.7556885,1.917263005,-1737.104191,-7.029964351,0.32486664,
200004802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
200005932,33,160.9455517,1725.432741,52.28584062,12.85827091,6.528727444,0.410754629,0.524500414,5.918788838,63.26967916,1.917263005,-231.9888236,-7.029964351,0.32486664,
200005957,77.7,168.5083947,4209.276361,54.17344094,12.37588855,8.20555535,0.499704117,0.690925221,3.670629082,81.8694661,1.053661082,-300.1880424,-3.863423969,0.321488084,
200006682,190.3,168.5083947,10309.20581,54.17344094,12.37588855,8.20555535,0.499704117,0.690925221,3.670629082,200.511704,1.053661082,-735.2095813,-3.863423969,0.321488084,
200006682,190.3,168.5083947,10309.20581,54.17344094,12.37588855,8.20555535,0.499704117,0.690925221,3.670629082,200.511704,1.053661082,-735.2095813,-3.863423969,0.321488084,
200006716,1481.3,168.5083947,80247.11806,54.17344094,12.37588855,8.20555535,0.499704117,0.690925221,3.670629082,1560.788161,1.053661082,-5722.889925,-3.863423969,0.321488084,
200006930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
200006971,67.4,160.9455517,3524.065658,52.28584062,12.85827091,6.528727444,0.410754629,0.524500414,5.918788838,129.2235265,1.917263005,-473.8195973,-7.029964351,0.32486664,
200007052,13,160.9455517,679.7159281,52.28584062,12.85827091,6.528727444,0.410754629,0.524500414,5.918788838,24.92441906,1.917263005,-91.38953657,-7.029964351,0.32486664,
200007177,149.7,160.9455517,7827.190342,52.28584062,12.85827091,6.528727444,0.410754629,0.524500414,5.918788838,287.0142718,1.917263005,-1052.385663,-7.029964351,0.32486664,
200010650,231.4,168.5083947,12535.73423,54.17344094,12.37588855,8.20555535,0.499704117,0.690925221,3.670629082,243.8171745,1.053661082,-893.9963064,-3.863423969,0.321488084,
200010700,92.3,169.9933561,4917.846056,53.2811057,11.71324805,8.274728103,0.807804644,0.758770441,2.630715299,93.0800666,1.008451426,-341.2935775,-3.697655228,0.313430518,
200011773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
200011781,135.8,160.9455517,7100.417157,52.28584062,12.85827091,6.528727444,0.410754629,0.524500414,5.918788838,260.3643161,1.917263005,-954.6691589,-7.029964351,0.32486664,
200012060,7.2,168.5083947,390.0487747,54.17344094,12.37588855,8.20555535,0.499704117,0.690925221,3.670629082,7.586359793,1.053661082,-27.81665258,-3.863423969,0.321488084,
200013050,22.1,168.5083947,1197.233045,54.17344094,12.37588855,8.20555535,0.499704117,0.690925221,3.670629082,23.28590992,1.053661082,-85.38166971,-3.863423969,0.321488084,
200015162,5.6,174.4933166,290.0623234,51.79684346,17.95437798,14.11320237,0.225034212,0.796036365,3.616141394,5.715153315,1.020563092,-20.95556216,-3.742064671,0.296841418,
200016905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
200017341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
200017846,80.6,169.9933561,4294.457119,53.2811057,11.71324805,8.274728103,0.807804644,0.758770441,2.630715299,81.28118492,1.008451426,-298.0310114,-3.697655228,0.313430518,
200018083,152.3,169.9933561,8114.712398,53.2811057,11.71324805,8.274728103,0.807804644,0.758770441,2.630715299,153.5871521,1.008451426,-563.1528912,-3.697655228,0.313430518,
200018166,354.2,174.4933166,18346.44195,51.79684346,17.95437798,14.11320237,0.225034212,0.796036365,3.616141394,361.4834472,1.020563092,-1325.439306,-3.742064671,0.296841418,
200018406,277.1,160.9455517,14488.40644,52.28584062,12.85827091,6.528727444,0.410754629,0.524500414,5.918788838,531.2735787,1.917263005,-1948.003122,-7.029964351,0.32486664,
200018521,59.6,160.9455517,3116.236101,52.28584062,12.85827091,6.528727444,0.410754629,0.524500414,5.918788838,114.2688751,1.917263005,-418.9858753,-7.029964351,0.32486664,
200022986,3,174.4933166,155.3905304,51.79684346,17.95437798,14.11320237,0.225034212,0.796036365,3.616141394,3.061689276,1.020563092,-11.22619401,-3.742064671,0.296841418,
