commune,epci
Marseille 1er Arrondissement,200054807
Marseille 2e Arrondissement,200054807
Marseille 7e Arrondissement,200054807
Marseille 8e Arrondissement,200054807
Marseille 3e Arrondissement,200054807
Paris 6e Arrondissement,200054781
Marseille 4e Arrondissement,200054807
Paris 3e Arrondissement,200054781
Marseille 9e Arrondissement,200054807
Marseille 5e Arrondissement,200054807
Marseille 15e Arrondissement,200054807
Marseille 14e Arrondissement,200054807
Marseille 6e Arrondissement,200054807
Lyon 2e Arrondissement,200046977
Marseille 13e Arrondissement,200054807
Marseille 16e Arrondissement,200054807
Lyon 1er Arrondissement,200046977
Marseille 10e Arrondissement,200054807
Marseille 11e Arrondissement,200054807
Marseille 12e Arrondissement,200054807
Lyon 7e Arrondissement,200046977
Lyon 3e Arrondissement,200046977
Paris 4e Arrondissement,200054781
Lyon 4e Arrondissement,200046977
Paris 2e Arrondissement,200054781
Lyon 8e Arrondissement,200046977
Lyon 5e Arrondissement,200046977
Lyon 6e Arrondissement,200046977
Paris 5e Arrondissement,200054781
Paris 1er Arrondissement,200054781
Paris 7e Arrondissement,200054781
Paris 8e Arrondissement,200054781
Lyon 9e Arrondissement,200046977
Paris 9e Arrondissement,200054781
Paris 10e Arrondissement,200054781
Paris 11e Arrondissement,200054781
Paris 13e Arrondissement,200054781
Paris 14e Arrondissement,200054781
Paris 12e Arrondissement,200054781
Paris 15e Arrondissement,200054781
Paris 16e Arrondissement,200054781
Paris 17e Arrondissement,200054781
Paris 18e Arrondissement,200054781
Paris 19e Arrondissement,200054781
Paris 20e Arrondissement,200054781
Pierrerue,200042653
Faucigny,247400666
Beaupréau-en-Mauges,200060010
Les Plans,200017341
Issel,200035855
Trambly,200071645
Saint-Alban-Auriolles,200039808
Lordat,200066363
Canville-les-Deux-Églises,200069847
Monchy-sur-Eu,247600588
Quetteville,200066827
Guilers,242900314
Clamecy,240200501
La Moncelle,200041630
Sarry,200066876
Châtenoy,200067676
Val-de-Roulans,242504447
Douvaine,200067551
Noves,200035087
La Versanne,244200622
Corbeilles,244500419
Ciez,200067916
Gazaupouy,243200417
Feissons-sur-Salins,200040798
Lay,244200630
Sallèles-Cabardès,200035715
Le Beaucet,248400053
Hercé,245300389
Vivy,200071876
Versonnex,247400740
Sauzé-Vaussais,200069755
Versols-et-Lapeyre,200067155
Les Mages,200066918
Méry-Bissières-en-Auge,200069532
Serres-sur-Arget,200067791
Griesbach-au-Val,246800585
Calvisson,243000296
Mecé,200039022
Pelleautier,200067825
Saint-Hilaire-en-Morvan,200067890
Compreignac,200066512
Vieillevigne,200071298
Fos,200071058
Montriond,247400682
Pontorson,200069425
Saint-Saturnin,200069268
Fourques,246600449
Esquiule,200067262
Cogners,200072692
Lezay,200069755
Saint-Laurent-du-Pape,200071413
Flin,200070324
Andrésy,200059889
Dournon,200071595
Soyaux,200071827
La Cour-Marigny,200067676
Saint-Armel,243500139
Orsennes,200007052
Coivert,200041689
Épiez-sur-Meuse,200066157
Joannas,240700617
Péreyres,200039824
Bourisp,246500573
Promilhanes,200069383
Saint-Martin-d'Aubigny,200067031
Landerrouat,243301371
Cintré,243500139
Vierville,200069953
Valleroy-le-Sec,200068682
Senoncourt-les-Maujouy,200066165
Fessanvilliers-Mattanvilliers,200040277
Avezac-Prat-Lahitte,200070787
Vendœuvres,243600301
Toutenant,200040038
Teyssieu,200066371
Ferrières-lès-Scey,247000367
Tessé-Froulay,200068443
Gesnes-en-Argonne,200066116
Aujeurres,200027308
Villers-lès-Cagnicourt,200044048
Vaychis,200066363
Séez,247300254
Plélo,200069086
Les Baux-de-Provence,241300375
Fromelles,245900410
Charmont,249500513
Fenouillet-du-Razès,200035707
Domalain,200039022
Faverois,249000241
Ronchaux,200068070
Bessins,200070431
Salerm,200072643
Remilly-Wirquin,246201016
Céreste,200040624
Le Castellet,248300394
Murol,246300966
La Tardière,248500415
Fuans,242504181
Carentan les Marais,200042729
Massanes,200066918
Juaye-Mondaye,241400555
Val de Briey,200070845
Auriol,200054807
Savianges,247104094
Chaniers,200036473
Chaumont,248900896
Dannemarie,200065647
Larodde,200069169
Saint-Médard-de-Mussidan,200069094
Ecques,200069037
Berville-sur-Seine,200023414
Bouguenais,244400404
Asnières-sur-Seine,200054781
Le Fied,200071595
Saint-Saire,200070068
Monchy-Lagache,200070985
Saint-Cloud,200054781
Les Achards,248500530
Dimbsthal,200068112
Thannenkirch,246800577
Achenheim,246700488
Ternay,200072072
Crevant,200007052
Tignes,247300254
Ginasservis,200040202
Naillat,200067510
Vendenheim,246700488
Estissac,200069250
Coincy,200072031
Lez-Fontaine,200043263
Tricot,246000566
Saint-Hippolyte-de-Montaigu,200034379
Eclassan,200040491
Condat-sur-Ganaveix,241927243
Dricourt,240800920
Beaumont-en-Argonne,240800847
Saint-Martin-des-Puits,200035863
Monestier,200070647
Seillonnaz,240100883
Boutiers-Saint-Trojan,200070514
Croix-Moligneaux,200070985
Charnay,200040574
Romazy,200070688
Racquinghem,200069037
Boissy-lès-Perche,200069912
Saffloz,243900719
Neuville-Saint-Rémy,200068500
Mouchard,243900420
Torchamp,200068443
Sorèze,243100567
Oye-Plage,246200844
Liginiac,200066744
Belleserre,243100567
Savigny-en-Sancerre,200069227
Parnes,246000707
Continvoir,200072981
Magny-Jobert,247000664
Housset,240200444
Saint-Vaast-d'Équiqueville,247600729
Saint-Vallerin,247104094
Roquecor,200040418
Lanvollon,200069086
Gimat,248200065
Matignon,200068989
Lampaul-Guimiliau,242900751
Riel-les-Eaux,242101434
Gerville,200069821
Rimbach-près-Guebwiller,246800569
Condé-lès-Autry,240800920
Rupt-sur-Moselle,200033868
Hymont,200068369
Bulle,242504496
Sainte-Geneviève-des-Bois,200057859
Provin,245901061
Landéda,242900553
Montenils,200072544
Gaudiempré,200069482
Villerouge-Termenès,200035863
Romilly-sur-Andelle,200070142
Peyrole,200066124
Luc-sur-Orbieu,200035863
Chauvac-Laux-Montaux,200068229
Villiers-sous-Mortagne,200036069
Saujon,241700640
Saint-Père,200067916
Le Coudray,200033181
Saillac,200066769
Massilly,200040293
Dompierre-sur-Mont,243901071
Prendeignes,200067361
La Chapelle-Montmartin,200018406
Louvigné-de-Bais,200039022
Avesnes-Chaussoy,200071181
Livilliers,249500430
Astugue,246500482
Le Pin,200033090
Cozes,241700640
Derbamont,200068369
Saint-Germain-d'Esteuil,200069995
Boussy,247400740
Besançon,242500361
Guéthary,200067106
Cantaous,200070829
Morosaglia,200073138
Fatines,200072684
Les Salces,200069268
Cordesse,200070530
Brasparts,200067197
Naves,200068500
Germigny-sur-Loire,245804406
Longchamp,200068757
Moncoutant,200040244
Nances,247300668
Saint-Gilles,243000643
Sainte-Marie-Lapanouze,200066744
Contilly,200072676
Saint-Brieuc-des-Iffs,243500733
Saint-Galmier,244200770
Colleville,200069821
Chaudardes,240200576
Réhon,245400262
Ribes,240700302
Haut-Loquin,246201016
Houetteville,242700607
Roscanvel,200066868
Richemont,200069722
Marle,240200469
Saint-Geniès-Bellevue,243100815
Fraissinet-de-Fourques,200069151
Houdain,200072460
Pleumeleuc,243500550
Autrechêne,200069052
Rilhac-Xaintrie,200066751
Parcé,200072452
Ploemel,200043123
La Terrasse,200018166
Yvias,200067981
Sainte-Colombe,200041523
Saint-Gineis-en-Coiron,240700815
Loiré,244900809
Ardenais,200049484
Pré-Saint-Évroult,242852465
Uhlwiller,200067874
Coublevie,243800984
Lachapelle,200071181
Challes-la-Montagne,200029999
Roncenay,200069250
Nixéville-Blercourt,200066165
Aschbach,200040178
Cusy,200066793
Frémainville,200035970
Cézac,243301181
Plounévez-Quintin,242200715
Lamorville,200034874
Saint-Marcan,200070670
Fresne-l'Archevêque,200072312
Meurcé,200072676
Routes,200069847
La Barre-de-Semilly,200066389
Breux-Jouy,249100595
Porcheville,200059889
Ornans,200068070
Drubec,241400878
Jully-lès-Buxy,247104094
Épénancourt,200070985
Faget-Abbatial,200072320
Durfort-et-Saint-Martin-de-Sossenac,200034411
Boisset,200066678
Guenviller,245700398
Saint-Laurent-de-la-Prée,200041762
La Grave,240500439
La Crouzille,200072080
Saint-Vincent,246401756
Gibel,200071298
Sainte-Foi,200044469
Lapanouse-de-Cernon,241200906
Erdeven,200043123
Ruffieux,200068674
Morey,247100290
Virey-le-Grand,247100589
Gaillac-Toulza,200068807
