code,Commune,Nom unique,nom,nature,nombreCommunes,populationTotale
1,,,Île-de-Bréhat,Comm,1,361
2,,,Île-de-Sein & Ouessant,Comm,2,684
3,,,Loire-Authion,Comm,1,15702
4,,,L'Île-d'Yeu,Comm,1,4809
200000172,,,CC Faucigny-Glières,CC,7,27164
200000438,,,CC du Pays de Pontchâteau Saint-Gildas-des-Bois,CC,9,35548
200000545,,,CC des Portes de Romilly-sur-Seine,CC,6,19108
200000628,,,CC Rhône Lez Provence,CC,5,24502
200000800,,,CC Coeur de Sologne,CC,6,10861
200000925,,,CC de la Plaine Dijonnaise,CC,25,22507
200000933,,,CC Sauldre et Sologne,CC,13,14423
200004802,,,CC du Pays de Fayence,CC,9,28039
200005932,,,CC des Portes de Sologne,CC,7,15652
200005957,,,CC de la Région de Rambervillers,CC,30,14002
200006682,,,"CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay",CA,53,53930
200006716,,,CC du Nogentais,CC,23,17083
200006930,,,CC du Haut-Allier,CC,11,5484
200006971,,,CC du Perche,CC,22,19075
200007052,,,CC de la Marche Berrichonne,CC,9,5832
200007177,,,CC Pays de Nérondes,CC,12,5148
200010650,,,CA du Grand Dole,CA,47,55763
200010700,,,CA Caux Seine Agglo,CA,50,78274
200011773,,,CA Annemasse-les Voirons-Agglomération,CA,12,90932
200011781,,,CC Portes du Berry entre Loire et Val d'Aubois,CC,12,10086
200012060,,,CC Petite Montagne,CC,26,6882
200013050,,,CC Sauer-Pechelbronn,CC,24,17945
200015162,,,CC de l'Oriente,CC,22,6187
200016905,,,CC du Pays de Lamastre,CC,11,6814
200017341,,,CC Lodévois et Larzac,CC,28,14910
200017846,,,CA Étampois Sud-Essonne,CA,38,54360
200018083,,,CC de Desvres-Samer,CC,31,23215
200018166,,,CC Le Grésivaudan,CC,46,104039
200018406,,,CC du Romorantinais et du Monestois,CC,15,34508
200018521,,,CC du Val de Bouzanne,CC,12,6172
200022986,,,CC du Grand Pic Saint-Loup,CC,36,48510
200023075,,,CC du Pays de Maîche,CC,43,19102
200023125,,,CC Les Portes Briardes entre Villes et Forêts,CC,5,46758
200023240,,,CC Pays de Nemours,CC,21,30936
200023299,,,CC Coeur de Tarentaise,CC,7,9897
200023307,,,CA du Grand Villeneuvois,CA,19,49586
200023372,,,CC de la Vallée de Chamonix-Mont-Blanc,CC,4,13681
200023414,,,Métropole Rouen Normandie,ME,71,498822
200023620,,,CC de la Gascogne Toulousaine,CC,14,21409
200023737,,,CA du Grand Cahors,CA,36,42395
200023778,,,CC du Pays de Saint-Gilles-Croix-de-Vie,CC,14,48730
200023794,,,CC de Blaye,CC,21,21016
200023919,,,CC Gâtinais Val de Loing,CC,20,19364
200026573,,,CC Haut-Jura Saint-Claude,CC,25,22197
200027027,,,CC Arc Sud Bretagne,CC,12,27558
200027076,,,CC Arnon Boischaut Cher,CC,19,8446
200027100,,,CC Méditerranée Porte des Maures,CC,6,43068
200027183,,,CU Perpignan Méditerranée Métropole,CU,36,271238
200027217,,,CC Sarlat-Périgord Noir,CC,13,17411
