Département,siren,Commune,Nom unique,EPCI_nom (==> données : tC.ha-1),nature,nb_com,poptot,cultures,prairies,forêts,zones humides,vergers,vignes,sols artificialisés,sols artificiels imperméabilisés,sols artificiels enherbés,sols artificiels arborés et buissonants,f_cult_for_%zpc,f_for_cult_%zpc,f_cult_prai_%zpc,f_prai_cult_%zpc,f_prai_for_%zpc,f_for_prai_%zpc,f_cult_zh_%zpc,f_zh_cult_%zpc,f_prai_zh_%zpc,f_zh_prai_%zpc,f_for_zh_%zpc,f_zh_for_%zpc,f_prai_verg_%zpc,f_verg_prai_%zpc,f_for_verg_%zpc,f_verg_for_%zpc,f_prairies_vign_%zpc,f_vign_prai_%zpc,f_for_vign_%zpc,f_vign_for_%zpc,f_for_art_ imp_%zpc,f_prai_art_imp_%zpc,f_cult_art_imp_%zpc,f_for_art_enh_%zpc,f_prai_art_enh_%zpc,f_cult_art_enh_%zpc,f_for_art_arb_%zpc,f_ prai_art_arb_%zpc,f_cult_art_arb_%zpc,
,1,,,Île-de-Bréhat,Comm,1,361,50.2099757,70.64640153,61.69682075,125,46,39,35.32320077,30,70.64640153,61.69682075,0.168473727,-0.287171126,0.400553946,-0.776584182,-0.18060254,0.18060254,74.7900243,-74.7900243,54.35359847,-54.35359847,63.30317925,-63.30317925,-0.936563258,0.48306947,-0.392420519,0.230220038,-1.202563258,0.62026947,-0.567420519,0.332886704,-31.69682075,-40.64640153,-20.2099757,8.949580785,0,20.43642583,0,-8.949580785,11.48684505,
,2,,,Île-de-Sein & Ouessant,Comm,2,684,49.94297337,70.30808488,61.52333418,125,46,39,35.15404244,30,70.30808488,61.52333418,0.169845292,-0.28950902,0.399156186,-0.773874237,-0.177276269,0.177276269,75.05702663,-75.05702663,54.69191512,-54.69191512,63.47666582,-63.47666582,-0.923707225,0.476438464,-0.388083355,0.227675568,-1.189707225,0.613638464,-0.563083355,0.330342235,-31.52333418,-40.30808488,-19.94297337,8.784750696,0,20.36511151,0,-8.784750696,11.58036081,
,3,,,Loire-Authion,Comm,1,15702,42.50541541,54.57607035,80.45642209,125,46,39,27.28803517,30,54.57607035,80.45642209,0.556614765,-0.948775167,0.236584837,-0.458684888,0.522265498,-0.522265498,82.49458459,-82.49458459,70.42392965,-70.42392965,44.54357791,-44.54357791,-0.325890673,0.168090979,-0.861410552,0.505360857,-0.591890673,0.305290979,-1.036410552,0.608027524,-50.45642209,-24.57607035,-12.50541541,-25.88035174,0,12.07065494,0,25.88035174,37.95100668,
,4,,,L'Île-d'Yeu,Comm,1,4809,49.439046,73.03600254,65.00144513,125,46,39,36.51800127,30,73.03600254,65.00144513,0.228248521,-0.389059978,0.462500348,-0.896684348,-0.162137369,0.162137369,75.560954,-75.560954,51.96399746,-51.96399746,59.99855487,-59.99855487,-1.027368097,0.52990565,-0.475036128,0.278687862,-1.293368097,0.66710565,-0.650036128,0.381354529,-35.00144513,-43.03600254,-19.439046,8.03455741,0,23.59695654,0,-8.03455741,15.56239913,
,200000172,,,CC Faucigny-Glières,CC,7,27164,54.63076734,93.30767341,88.56920809,125,46,39,46.65383671,30,93.30767341,88.56920809,0.497763798,-0.848461019,0.758067359,-1.469722431,-0.09562223,0.09562223,70.36923266,-70.36923266,31.69232659,-31.69232659,36.43079191,-36.43079191,-1.79769159,0.927230399,-1.064230202,0.624348385,-2.06369159,1.064430399,-1.239230202,0.727015052,-58.56920809,-63.30767341,-24.63076734,4.738465318,0,38.67690607,0,-4.738465318,33.93844075,
,200000438,,,CC du Pays de Pontchâteau Saint-Gildas-des-Bois,CC,9,35548,50.58893746,72.70054475,63.75000253,125,46,39,36.35027238,30,72.70054475,63.75000253,0.193028954,-0.329026627,0.433387503,-0.840241077,-0.180621942,0.180621942,74.41106254,-74.41106254,52.29945525,-52.29945525,61.24999747,-61.24999747,-1.014620701,0.523330677,-0.443750063,0.26033337,-1.280620701,0.660530677,-0.618750063,0.363000037,-33.75000253,-42.70054475,-20.58893746,8.950542225,0,22.11160729,0,-8.950542225,13.16106507,
,200000545,,,CC des Portes de Romilly-sur-Seine,CC,6,19108,43,55,83,125,46,39,27.5,30,55,83,0.586666667,-1,0.2352,-0.456,0.56504,-0.56504,82,-82,70,-70,42,-42,-0.342,0.1764,-0.925,0.542666667,-0.608,0.3136,-1.1,0.645333333,-53,-25,-13,-28,0,12,0,28,40,
,200000628,,,CC Rhône Lez Provence,CC,5,24502,41.70197945,57.59604109,77.4458074,125,46,39,28.79802055,30,57.59604109,77.4458074,0.52424281,-0.893595699,0.311523608,-0.603974342,0.400568284,-0.400568284,83.29802055,-83.29802055,67.40395891,-67.40395891,47.5541926,-47.5541926,-0.440649561,0.227282405,-0.786145185,0.461205175,-0.706649561,0.364482405,-0.961145185,0.563871842,-47.4458074,-27.59604109,-11.70197945,-19.84976631,0,15.89406164,0,19.84976631,35.74382794,
,200000800,,,CC Coeur de Sologne,CC,6,10861,43,55,83,125,46,39,27.5,30,55,83,0.586666667,-1,0.2352,-0.456,0.56504,-0.56504,82,-82,70,-70,42,-42,-0.342,0.1764,-0.925,0.542666667,-0.608,0.3136,-1.1,0.645333333,-53,-25,-13,-28,0,12,0,28,40,
,200000925,,,CC de la Plaine Dijonnaise,CC,25,22507,49.22149101,74.83881739,68.95285333,125,46,39,37.41940869,30,74.83881739,68.95285333,0.289393314,-0.493284058,0.502099597,-0.973458402,-0.118778755,0.118778755,75.77850899,-75.77850899,50.16118261,-50.16118261,56.04714667,-56.04714667,-1.095875061,0.565240821,-0.573821333,0.336641849,-1.361875061,0.702440821,-0.748821333,0.439308516,-38.95285333,-44.83881739,-19.22149101,5.885964059,0,25.61732637,0,-5.885964059,19.73136232,
,200000933,,,CC Sauldre et Sologne,CC,13,14423,49.24445007,70.42285742,68.80981465,125,46,39,35.21142871,30,70.42285742,68.80981465,0.28695868,-0.489134114,0.415096784,-0.804779479,-0.032551203,0.032551203,75.75554993,-75.75554993,54.57714258,-54.57714258,56.19018535,-56.19018535,-0.928068582,0.478688005,-0.570245366,0.334543948,-1.194068582,0.615888005,-0.745245366,0.437210615,-38.80981465,-40.42285742,-19.24445007,1.613042769,0,21.17840735,0,-1.613042769,19.56536458,
,200004802,,,CC du Pays de Fayence,CC,9,28039,37.8023741,50.54489208,56.26935249,125,46,39,25.27244604,30,50.54489208,56.26935249,0.270849016,-0.46167446,0.249753353,-0.484215683,0.115519611,-0.115519611,87.1976259,-87.1976259,74.45510792,-74.45510792,68.73064751,-68.73064751,-0.172705899,0.089079885,-0.256733812,0.15061717,-0.438705899,0.226279885,-0.431733812,0.253283837,-26.26935249,-20.54489208,-7.802374095,-5.724460408,0,12.74251799,0,5.724460408,18.46697839,
