siren,feuillus,coniferes,mixtes,peupleraies,total,jeune_peup,tx_boisement,,
1,2.6,7.6,18.6,0,28.8,0,0.091081594,,
2,0,0,0,0,0,0,0,,
3,755.5,314.5,40.3,227.8,1393.1,55,0.121734039,,
4,193.9,47.1,207.9,0,448.9,0,0.188060327,,
200000172,1767.47662,3247.626384,2557.67442,0.1,7572.877424,0,0.569637941,,
200000438,3530.1,573.3,678.4,82.3,4959.3,95.2,0.151597501,,
200000545,642.5,15.8,30.8,1051.5,1911.7,171.1,0.182222858,,
200000628,1401.5,1373.4,1221.6,11.4,4034.2,26.3,0.268104818,,
200000800,16492.9,3824.6,3074.3,31.8,23964.9,541.3,0.699727582,,
200000925,5045.9,16.4,43.6,136.7,5478.3,235.7,0.268260078,,
200000933,28937.3,7708.9,5113.7,247.1,42823.2,816.2,0.493232099,,
200004802,15296.9,6684,8792.8,0,31175,401.3,0.763692573,,
200005932,23834.6,4624.5,2387.1,33,31311.5,432.3,0.750240204,,
200005957,7782,3607.7,4764,77.7,16699.2,467.8,0.507756581,,
200006682,15471,1584.7,1905.7,190.3,19425,273.3,0.347765528,,
200006682,15471,1584.7,1905.7,190.3,19425,273.3,0.347765528,,
200006716,3747.8,34.4,245.4,1481.3,5614.3,105.4,0.189857665,,
200006930,2197.9,8990,4456.8,0,15951.7,307,0.563720085,,
200006971,4377.1,134.1,174.8,67.4,4836.4,83,0.152900152,,
200007052,2667.4,361.4,218,13,3270.8,11,0.11421069,,
200007177,2220.2,18.3,14,149.7,2440.1,37.9,0.095956617,,
200010650,14102.1,962.5,617.5,231.4,16425.2,511.7,0.38482282,,
200010700,11653.6,1660.8,452.2,92.3,14465,606.1,0.251487803,,
200011773,1372.7,555.3,582.1,0,2510.1,0,0.322892279,,
200011781,10047.1,342.8,355.2,135.8,11066.8,185.9,0.38093599,,
200012060,13400.8,2201.4,1595.1,7.2,17231.7,27.2,0.53036608,,
200013050,6588.9,2138.3,2141.3,22.1,10955,64.4,0.554335506,,
200015162,28143.4,168.6,538,5.6,28932.3,76.7,0.60987913,,
200016905,4212.1,4265.8,5451.5,0,14283.2,353.8,0.637873517,,
200017341,28258.7,4291.3,2552.1,0,35213.3,111.2,0.635490659,,
200017846,4926.6,583.4,826.8,80.6,6456.3,38.9,0.131805608,,
200018083,4372.5,86,12.4,152.3,4792.2,169,0.192791539,,
200018166,15370.7,16870.7,8098.6,354.2,40694.2,0,0.556623672,,
200018406,18032.8,2974.2,2267.2,277.1,24269.8,718.5,0.520922945,,
200018521,2852.5,10.9,31,59.6,2973.4,19.4,0.106141682,,
200022986,29421.8,5611.1,4040.6,3,39796.7,720.2,0.690006901,,
200023075,7217.6,5299.7,5055.4,1.6,17744.6,170.3,0.460466939,,
200023125,2384.2,3.9,1.2,0,2445,55.7,0.362399395,,
200023240,4299.4,1270.4,1605.5,21.7,7223.6,26.6,0.358025793,,
200023299,3344.5,3354.9,1202.3,0,7901.7,0,0.284270625,,
200023307,5746,253.3,182,343.2,6620.3,95.8,0.185954603,,
200023372,885.9,5817,1280.2,0,7983.1,0,0.228358687,,
200023414,18140.9,3225.5,1000,81.7,23527.9,1079.8,0.35464402,,
200023620,1986.1,121.5,132.5,36.9,2364.4,87.4,0.099324089,,
200023620,1986.1,121.5,132.5,36.9,2364.4,87.4,0.099324089,,
200023737,35433.8,1363.1,1655,56.4,38727.8,219.5,0.651590456,,
200023778,897,703,440.4,107.7,2212.6,64.5,0.075477233,,
200023794,3219.9,161.3,709.6,96.5,4584.6,397.3,0.217260057,,
200023919,5258.2,277,289,8.6,5836.1,3.3,0.18070603,,
200026573,10332.1,7959.9,8739.3,0,27073.9,42.6,0.71831397,,
200027027,2270.5,933.6,1476.5,17.4,4717.1,19.1,0.132606734,,
200027076,9417.5,256.2,382.3,95.5,10270.5,119,0.270289119,,
200027100,24855.8,3705.9,4050.6,0,32697.1,84.8,0.759138916,,
200027183,3587.7,1987.4,305.9,5.4,5959.6,73.2,0.092172826,,
200027217,10863.8,497.7,1130.6,102.6,12813.6,218.9,0.546935291,,
200027308,26561.2,2181.5,3433.3,38.4,33011,796.6,0.431391716,,
200029734,10111.3,2722.1,862.9,389.5,16032.4,1946.6,0.254946705,,
200029999,7230.7,655.5,560.8,1.4,8481.7,33.3,0.497189216,,
200030195,18164.4,48115.2,19718.8,0,86190.7,192.3,0.58898493,,
200030385,20648.7,879.6,354.2,828.3,22900.4,189.6,0.288645708,,
200030435,5972.4,140.1,320,167.4,6985.5,385.6,0.231097511,,
200030435,5972.4,140.1,320,167.4,6985.5,385.6,0.231097511,,
200030526,4176.6,6.8,136.2,82,4419.9,18.3,0.237968073,,
200030526,4176.6,6.8,136.2,82,4419.9,18.3,0.237968073,,
200030633,1337.8,249.7,39.9,304.8,1973.7,41.5,0.052860923,,
200030658,5973.1,25020.2,7359.1,0,38352.4,0,0.60296069,,
