siren,SUPERFICIE_EPCI,composition,PRELEVEMENT  Bois Fort Tige(m3/an),PRELEVEMENT VAT (m3/an),RECOLTE TOTALE (m3/an),recolteBo,recolteBi,RECOLTE TOTALE BE  (m3/an),RECOLTE TOTALE BE COMM  (m3/an),RECOLTE TOTALE BE AUTOCONSOM  (m3/an),PUITS PB (tco2/an),STOCKS PB (tCO2/m3),STOCKS BO,STOCKS BI,
1,316.2,coniferes,66.9592121996377,87.0469758595291,70.3071728096196,50.0506044130906,14.6438109033241,5.61275749320493,5.61275749320493,0,-3.23138489879781,851.547903638572,746.827567829019,104.720335809553,
2,1675.9,coniferes,0,0,0,0,0,0,0,0,0,0,0,0,
3,11443.8,coniferes,3017.7238647092,3923.04102412196,3168.61005794466,1711.1674428379,979.495846589969,477.946768516792,477.946768516792,0,-134.394424598823,32537.6369162436,25533.0986402351,7004.53827600844,
4,2387,coniferes,422.132520185642,548.772276241334,443.239146194924,239.365646920909,137.016197892658,66.8573013813572,66.8573013813572,0,-18.7996846955603,4551.50811940272,3571.68242038265,979.825699020068,
200000172,13294.194229851,coniferes,20783.2194379842,27018.1852693794,21822.3804098834,15745.2607908564,1324.09871367348,4753.02090535354,1276.12412259835,3476.89678275519,-852.587820220916,244410.965161775,234942.11426932,9468.85089245502,
200000438,32713.6,coniferes,4927.22356979518,6405.39064073373,5173.58474828494,2795.33044884507,1598.46047651245,779.793822927423,779.793822927423,0,-219.462987264571,53141.2398688142,41710.3822195472,11430.8576492669,
200000545,10491,coniferes,143.53415333555,186.594399336215,150.710861002328,45.167883685533,36.9086135258927,68.6343637909019,17.6800001854801,50.9543636054218,-4.09959271349854,937.909952251313,673.9702969107,263.939655340613,
200000628,15047.1,coniferes,715.232044641879,929.801658034443,750.993646873973,192.432113613537,466.138211619457,92.423321640979,91.2066693513884,1.21665228959059,-32.8945581059191,6204.79822111858,2871.36607174733,3333.43214937125,
200000800,34248.9,coniferes,26930.107638054,35009.1399294703,28276.6130199567,10849.896191626,11964.6115537793,5462.10527455144,5462.10527455144,0,-1139.54899262075,247457.112562749,161896.178457938,85560.9341048107,
200000925,20421.6,coniferes,251.381618366591,326.796103876568,263.950699284921,133.794756404019,57.8815590373184,72.274383843583,23.2608134449036,49.0135703986794,-9.57393228063059,2410.33239447701,1996.411705417,413.920689060011,
200000933,86821.6,coniferes,52577.9388478093,68351.3205021521,55206.8357901998,21183.1748367127,23359.528415827,10664.1325376601,10664.1325376601,0,-2224.83838733092,483131.560654981,316083.674267504,167047.886387477,
200004802,40821.4,coniferes,5356.77886963503,6963.81253052554,5624.61781311679,1426.73232332718,3511.95648818999,685.929001599608,685.929001599608,0,-246.679784759553,46403.5013488089,21288.9143591402,25114.5869896687,
200005932,41735.3,coniferes,30515.2813702974,39669.8657813866,32041.0454388123,12294.3301815154,13557.4462960546,6189.26896124232,6189.26896124232,0,-1291.25581718521,280400.788530947,183449.22734133,96951.5611896173,
200005957,32888.2,coniferes,44943.0709036172,58425.9921747023,47190.224448798,27001.08610623,9363.27985941847,10825.8584831496,8290.080008422,2535.77847472756,-1816.3432262435,469853.720659432,402895.343661096,66958.3769983362,
200006682,55856.6,coniferes,20320.0316512679,26416.0411466483,21336.0332338313,10815.0854568,4678.76338494985,5842.18439208153,1880.25070610134,3961.93368598019,-773.893525841682,194835.369682537,161376.751835037,33458.6178475008,
200006682,55856.6,coniferes,20320.0316512679,26416.0411466483,21336.0332338313,10815.0854568,4678.76338494985,5842.18439208153,1880.25070610134,3961.93368598019,-773.893525841682,194835.369682537,161376.751835037,33458.6178475008,
200006716,29571.1,coniferes,578.892095904714,752.559724676128,607.836700699949,181.664856831112,148.952612714355,277.219231154483,72.9056458126971,204.313585341786,-16.513825701071,3775.88798665094,2710.70299306319,1065.18499358774,
200006930,28297.2,coniferes,78669.6759172396,102270.578692411,82603.1597131015,37689.5050107722,17491.4807494792,27422.1739528501,4149.47567413552,23272.6982787146,-2756.20396620559,687466.545082284,562382.046929143,125084.498153141,
200006971,31631.1,coniferes,1048.39084060061,1362.9080927808,1100.81038263064,423.058795190926,465.034043798778,212.717543640941,212.717543640941,0,-44.3588488218962,9638.18652278987,6312.65046178899,3325.53606100088,
200007052,28638.3,coniferes,3191.06239364453,4148.38111173789,3350.61551332676,1289.17662301287,1414.84229075408,646.596599559806,644.77936428365,1.81723527615608,-135.061517153757,29354.1572761567,19236.3839189706,10117.7733571861,
200007177,25429.2,coniferes,128.145044491259,166.588557838637,134.552296715822,51.6284765322208,56.932772066353,25.9910481172481,25.9910481172481,0,-5.42246463779476,1177.50746210249,770.37170702361,407.13575507888,
200010650,42682.5,coniferes,11191.9872902872,14549.5834773734,11751.5866548016,7678.56260028928,1792.95784402368,2280.06621048861,409.599948893718,1870.46626159489,-473.087637977958,127397.02510937,114575.284323581,12821.7407857889,
200010700,57517.7,coniferes,10337.6419033104,13438.9344743035,10854.5239984759,4383.96309064659,3477.66302863792,2992.89787919142,2992.89787919142,0,-392.675933426432,90284.4327469854,65415.0840101235,24869.3487368619,
200011773,7773.8,coniferes,6077.3944526069,7900.61278838897,6381.26417523725,4604.20296627925,387.190743050906,1389.87046590709,373.162092940366,1016.70837296672,-249.312312004024,71470.2478248261,68701.3821994556,2768.86562537058,
200011781,29051.6,coniferes,2533.57983139552,3293.65378081417,2660.25882296529,1021.53187663608,1124.34529122447,514.381655104735,513.212617045413,1.16903805932293,-107.183209570491,23283.1171730698,15242.7363432279,8040.38082984184,
200012060,32490.2,coniferes,28423.7945304159,36950.9328895406,29844.9842569367,19526.2072631465,4533.54269090547,5785.23430288474,1037.74471726075,4747.48958562399,-1201.74689407307,323779.436668459,291359.316241283,32420.1204271762,
200013050,19762.4,coniferes,24267.4795121905,31547.7233658476,25480.8534878,14859.8348042465,2810.2805630573,7810.73812049624,3769.0379131356,4041.70020736063,-882.594636316825,241827.060435132,221730.275095216,20096.7853399155,
200015162,47439.4,coniferes,258.656846561336,336.253900529737,271.589688889403,22.0555886376998,0,249.534100251703,8.27084573913741,241.263254512566,-1.10164216972027,329.101352770528,329.101352770528,0,
200016905,22391.9,coniferes,41295.0805224824,53683.6046792272,43359.8345486066,31284.9418804464,2630.90918921487,9443.98347894528,2535.58639250419,6908.39708644109,-1694.04373531098,485630.752109891,466816.681401256,18814.0707086349,
200017341,55411.2,coniferes,28483.6555231044,37028.7521800358,29907.8382992597,13572.865927629,6364.6185888981,9970.35378273254,1505.88669492131,8464.46708781123,-995.846180410173,248041.283731434,202526.833952666,45514.4497787686,
200017846,48983.5,coniferes,4662.93729391238,6061.8184820861,4896.084158608,651.252497087049,1352.29058472842,2892.54107679254,2892.54107679254,0,-100.073844504267,19388.0869358714,9717.63126830267,9670.45566756876,
